,artist,album,track
492,Flume,Skin,Tiny Cities (feat. Beck)
493,Bruno Mars,24K Magic,That's What I Like
494,tobi lou,tobi lou and the Loop - EP,Buff Baby
495,Cash Cash,Mean It (feat. Wrabel),Mean It (feat. Wrabel)
496,Troye Sivan,Blue Neighbourhood,WILD
497,Troye Sivan,Bloom,Dance To This (feat. Ariana Grande)
498,Kacey Musgraves,Golden Hour,Golden Hour
499,Kodaline,Wherever You Are,Wherever You Are
500,Judah & the Lion,Folk Hop N' Roll,Suit And Jacket
501,New Politics,Lost in Translation,One of Us
502,Flume,Lockjaw,Drop The Game
503,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Wrong Turn
504,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Questions
505,Post Malone,beerbongs & bentleys,Candy Paint
506,Mac Miller,Swimming,Small Worlds
507,Electric Light Orchestra,All Over The World: The Very Best Of ELO,Evil Woman
508,The Beatles,Please Please Me,Twist And Shout - Remastered 2009
509,Troye Sivan,Blue Neighbourhood,COOL
510,Bahamas,Barchords,Lost In The Light
511,America,America's Greatest Hits - History,Tin Man
512,Thirty Seconds To Mars,AMERICA,Dangerous Night
513,Summer Salt,Driving to Hawaii,Driving to Hawaii
514,Afrojack,Press Play,Bringin It Back
515,Cage The Elephant,Social Cues,House Of Glass
516,Foster The People,Sacred Hearts Club,Sit Next to Me
517,Labrinth,Jealous,Jealous
518,Quinn XCII,From Michigan With Love,Autopilot
519,Ariana Grande,Sweetener,God is a woman
520,Red Hot Chili Peppers,Greatest Hits,Scar Tissue
